name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Clomifeno Citrato,Modulador Selectivo Receptor Estrógeno (SERM) / Inductor ovulación,50 mg,Una vez al día por 5 días (iniciando día 2-5 del ciclo),150-250 mg/día (en ciclos posteriores si no hay respuesta),"Oral,Inducción de ovulación en infertilidad anovulatoria (ej. SOP)""","Sofocos, aumento tamaño ovario, molestias pélvicas, alteraciones visuales (suspender si ocurren)","Embarazo, enfermedad hepática activa, sangrado uterino anormal no diagnosticado, quistes ováricos (no SOP)",
Clomipramina,Antidepresivo Tricíclico,Inicial: 10-25 mg; Mantenimiento: 50-150 mg,1-3 veces/día o dosis única nocturna,250 mg/día,Oral IV IM,"Depresión, TOC, Fobias, Crisis de angustia, Narcolepsia, Enuresis nocturna","Boca seca, somnolencia, mareo, visión borrosa, estreñimiento, retención urinaria, aumento peso, sudoración, hipotensión ortostática, disfunción sexual","Hipersensibilidad a tricíclicos, uso concomitante IMAO, infarto miocardio reciente"
Clomipramina Clorhidrato,Antidepresivo Tricíclico,Inicial: 25 mg; Mantenimiento: 100-150 mg,1-3 veces/día o dosis única HS,250 mg/día,Oral IV IM,"TOC, Depresión, Fobias, Pánico, Narcolepsia, Enuresis","Boca seca, somnolencia, mareo, visión borrosa, estreñimiento, disfunción sexual","Hipersensibilidad a tricíclicos, uso concomitante IMAO, IAM reciente"
Clonazepam Oral,Benzodiacepina,Inicial: 0.5-1 mg/día; Mantenimiento: 3-6 mg/día,Dividido en 2-3 tomas diarias,20 mg/día,Oral,"Epilepsia, Trastorno pánico","Somnolencia, sedación, ataxia, mareo, problemas coordinación, dependencia","Hipersensibilidad, miastenia gravis, insuficiencia respiratoria severa, glaucoma ángulo estrecho"
Clonidina LP,Agonista Alfa-2 Adrenérgico Central,0.1 mg,Una vez al día (generalmente al acostarse),0.4 mg/día,Oral,TDAH (monoterapia o adyuvante),"Somnolencia, sedación, hipotensión (ortostática), boca seca, mareo","Hipersensibilidad, no suspender bruscamente (riesgo HTA rebote)"
Clonidina Parches,Agonista Alfa-2,Parche liberación 0.1-0.3 mg/24h,Aplicar parche semanalmente,0.3 mg/día,Transdérmico,Hipertensión arterial,"Somnolencia, sedación, boca seca, mareo, estreñimiento, reacción cutánea local, síndrome retirada","Hipersensibilidad, bradicardia severa, enfermedad nodo sinusal"
Clopamida,Diurético (Similar a Tiazida),10-20 mg,Una vez al día,40 mg/día,Oral,"Hipertensión arterial, edema asociado a insuficiencia cardíaca/renal/hepática","Desequilibrio hidroelectrolítico (hipopotasemia, hiponatremia), hiperuricemia, mareo","Anuria, insuficiencia renal/hepática severa, hipersensibilidad a sulfamidas"
Cloperastina,Antitusígeno (Acción central y periférica),10-20 mg,3 veces al día,60 mg/día,Oral,Tos seca irritativa no productiva,"Somnolencia, boca seca, molestias gástricas",Hipersensibilidad
Clopidogrel/Bisulfato,Antiplaquetario,Mantenimiento: 75 mg; Carga: 300-600 mg,1 vez/día,75 mg/día,Oral,"Prevención eventos aterotrombóticos, Síndrome Coronario Agudo, post-ICP","Sangrado, hematoma, epistaxis, diarrea, dispepsia, rash, púrpura trombocitopénica trombótica","Hipersensibilidad, sangrado patológico activo, I.H. grave"
Clorambucilo,Agente alquilante,Leucemia Linfocítica Crónica (LLC): 0.1-0.2 mg/kg/día; Linfoma Hodgkin/no Hodgkin: 0.1-0.2 mg/kg/día,1 vez/día o según ciclo (pautas intermitentes),Dosis ajustada según respuesta hematológica y tolerancia,Oral,"LLC, Linfoma de Hodgkin, Linfoma no Hodgkin (ciertos tipos)","Mielosupresión (leucopenia, trombocitopenia, anemia), toxicidad SNC (convulsiones), fibrosis pulmonar, hepatotoxicidad, segundas neoplasias","Hipersensibilidad, embarazo, lactancia, vacunación reciente con virus vivos"
Cloranfenicol,Antibiótico,Adultos: 50 mg/kg/día; Niños: 50-100 mg/kg/día; RN <7d: 25 mg/kg/día,Dividido cada 6 horas,4 g/día,"IV, Oral, Oftálmico, Ótico",Infecciones bacterianas graves,"Supresión médula ósea, anemia aplásica irreversible, síndrome gris neonatal, neuritis óptica, neuropatía periférica, reacciones GI","Hipersensibilidad, porfiria, infecciones menores, profilaxis"
Clorazepato Dipotásico,Benzodiacepina,Ansiedad: 5-15 mg; Abstinencia Alcohol: dosis altas iniciales; Epilepsia: 0.5-1 mg/kg/día,Ansiedad: 2 veces/día/TID/HS; Otras: según pauta,90 mg/día,Oral,"Ansiedad, Síndrome abstinencia alcohol, Epilepsia","Somnolencia, mareo, astenia, confusión, dependencia","Hipersensibilidad, miastenia gravis, insuficiencia respiratoria severa, apnea sueño, I.H. severa"
Clorazepato Dipotásico,Benzodiazepina (Acción larga),7.5-15 mg,Una a dos veces al día o al acostarse,60-90 mg/día,Oral,"Trastornos de ansiedad, abstinencia alcohólica aguda, convulsiones (adyuvante)","Somnolencia, dependencia, mareo, ataxia, confusión","Glaucoma agudo de ángulo estrecho, insuficiencia respiratoria severa, miastenia gravis, apnea del sueño"
Clordiazepóxido,Benzodiacepina,"Ansiedad: 5-25 mg TID/4 veces día; Abstinencia Alcohol: 50-100 mg, repetir PRN",3-4 veces al día,100 mg/día,"Oral, IM","Ansiedad, Síndrome abstinencia alcohol","Somnolencia, sedación, ataxia, confusión, mareo, dependencia, síndrome retirada","Hipersensibilidad, miastenia gravis, I.R./I.H. severa, insuficiencia respiratoria severa, apnea sueño, glaucoma ángulo estrecho"
Clorfenamina,Antihistamínico 1ª (alquilamina),Adultos: 4 mg; Niños 6-12 años: 2 mg; Niños 2-6 años: 1 mg (jarabe),Cada 4-6 horas,Adultos: 24 mg/día; Niños 6-12a: 12 mg/día; Niños 2-6a: 6 mg/día,"Oral IV IM, SC","Rinitis alérgica, urticaria, conjuntivitis alérgica, reacciones alérgicas leves","Somnolencia, sedación, mareo, boca seca, visión borrosa, estreñimiento, retención urinaria, espesamiento secreciones bronquiales","Hipersensibilidad, glaucoma ángulo estrecho, úlcera péptica estenosante, obstrucción piloroduodenal, HBP sintomática, obstrucción cuello vesical, crisis asmática aguda, niños <2 años"
Clorfenamina/Pseudoefedrina,Antihistamínico (1ª gen),4/60 mg,Cada 4-6 horas,24/240 mg/día,Oral,"Rinitis alérgica, congestión nasal, síntomas de resfriado","Somnolencia, boca seca, hipertensión, taquicardia","Glaucoma de ángulo estrecho, uso de IMAO en 14 días, hipertensión severa"
Clorhexidina,Antiséptico biguanida,Enjuague bucal: 10-15 ml (solución 0.12%-0.2%);,"Enjuague: 2 veces al día, Gel/Spray/Cutáneo: 1-3 veces al día",Frecuencia recomendada para cada presentación,"Tópica (bucal, cutánea)","Gingivitis, periodontitis (adyuvante), higiene bucal, desinfección piel pre-procedimientos, tratamiento heridas leves","Bucal: Tinción dientes/lengua/empastes, alteración gusto, irritación mucosa; Cutánea: Dermatitis contacto",Hipersensibilidad a clorhexidina
Clormezanona,Relajante Muscular (Ansiolítico asociado),200 mg,3 veces al día,600 mg/día,Oral,"Espasmos musculares, ansiedad","Somnolencia, erupción (riesgo de reacciones graves), mareo","Hipersensibilidad, porfiria"
Cloroprocaína,Anestésico local,Dosis variable según técnica anestésica,Según necesidad para procedimiento,800 mg sin epinefrina; 1000 mg con epinefrina,"Epidural, Infiltración, Bloqueo nervioso",Anestesia local o regional corta duración,"Hipotensión, bradicardia, náuseas, vómitos, reacciones SNC",Hipersensibilidad a anestésicos locales tipo éster/PABA
Cloroprocaína Inyectable,Anestésico Local (Éster),1-2% (10-20 mg/mL),Según necesidad,800 mg/día (Epidural - infiltración),Anestesia local/regional de corta duración,"Hipotensión (epidural), nerviosismo, riesgo cardíaco","Hipersensibilidad a ésteres, bloqueo paracervical obstétrico",
Cloroquina,Antimalárico,Antirreumático (4-aminoquinolina),"Malaria (profilaxis): 500 mg fosfato (300 mg base) semanal; Malaria (tto): Dosis carga 1g, luego 500mg a 6h, 24h, 48h; AR/LES: 250 mg fosfato/día",Profilaxis malaria: Semanal; Tto malaria: Según pauta; AR/LES: 1 vez/día,Oral,"Profilaxis y tratamiento de malaria, Artritis Reumatoide, Lupus Eritematoso Sistémico y Discoide, Amebiasis extraintestinal","Visión borrosa, prurito, rash, retinopatía (irreversible), cardiomiopatía, psicosis","Hipersensibilidad, retinopatía preexistente, uso concomitante con fármacos que prolongan QT, porfiria"
Cloroquina Fosfato,Antimalárico,"Malaria profilaxis: 310 mg base semanal; Malaria tto: 620 mg base inicial, luego 310 mg base a 6h, 24h, 48h; AR/LES: 155 mg base diario",Semanal o diario según indicación,Dosis acumulada limitada por retinopatía,Oral,"Malaria, Artritis Reumatoide, Lupus Eritematoso","Náuseas, vómitos, cefalea, visión borrosa, prurito, rash, retinopatía, cardiomiopatía","Hipersensibilidad, retinopatía preexistente, porfiria"
Cloroquina Sulfato,Antipalúdico/Antirreumático,500 mg,Una vez por semana (profilaxis malaria),Sin máx. fijo (profilaxis),Oral,"Profilaxis y tratamiento de malaria, enfermedades reumáticas (ej. Artritis Reumatoide, Lupus)","Náuseas, vómitos, alteraciones visuales (retinopatía con uso prolongado)","Porfiria, psoriasis (puede exacerbar), alteraciones visuales preexistentes significativas"
Clorotiazida,Diurético,Edema: 500 mg - 1 g; HTA: 250-500 mg,Una o dos veces al día,1000 mg/día,"Oral, IV","Edema, Hipertensión arterial","Hipokalemia, hiponatremia, hiperuricemia, hiperglucemia, mareo, hipotensión ortostática, fotosensibilidad","Hipersensibilidad a tiazidas/sulfonamidas, anuria"
Clorotiazida Sódica,Diurético (Tiazídico),500 mg,Una o dos veces al día,1000 mg/día,IV,"Edema, hipertensión (raro IV)","Hipopotasemia, alcalosis hipoclorémica, mareo","Anuria, hipersensibilidad a sulfamidas"
Clorpromazina,Antipsicótico típico (fenotiazina alifática),"Psicosis: 25-100 mg, Mant: 300-800 mg/día; Náuseas/Vómitos: 10-25 mg oral / 25-50 mg IM; Hipo: 25-50 mg",Psicosis: 2-4 veces al día; Náuseas/Hipo: cada 4-6 horas según necesidad,1000 mg/día,Oral IM IV,"Trastornos psicóticos (Esquizofrenia, manía), Agitación psicomotriz, Náuseas/vómitos severos, Hipo incoercible, Porfiria intermitente aguda","Sedación, hipotensión ortostática, efectos extrapiramidales (parkinsonismo, acatisia, distonía), discinesia tardía (uso prolongado), efectos anticolinérgicos, ictericia colestásica, fotosensibilidad, agranulocitosis","Hipersensibilidad a fenotiazinas, depresión SNC severa, coma, feocromocitoma, mielosupresión"
Clortalidona,Diurético tiazídico,"HTA: Inicial 12.5-25 mg, Mant: 25-50 mg; Edema: 50-100 mg/día o 100 mg días alternos",1 vez/día (por la mañana),HTA: 50 mg/día; Edema: 100-200 mg/día (uso limitado a corto plazo),Oral,"Hipertensión arterial, Edema (asociado a IC, cirrosis, síndrome nefrótico, tto. corticoides/estrógenos)","Hipopotasemia, hiponatremia, hiperuricemia (gota), hiperglucemia, hipercalcemia, mareo, hipotensión ortostática, fotosensibilidad, pancreatitis (raro)","Hipersensibilidad a clortalidona/sulfonamidas, anuria, I.R./I.H. grave"
Clortalidona,Diurético (Tiazídico),12.5-25 mg,Una vez al día,50-100 mg/día,Oral,"Hipertensión, edema","Hipopotasemia, hiperuricemia, mareo, hiperglucemia","Anuria, hipersensibilidad a sulfamidas"
Clorzoxazona,Relajante Muscular,250-750 mg,3-4 veces al día,3000 mg/día,Oral,Espasmos musculoesqueléticos dolorosos,"Somnolencia, mareo, malestar GI, hepatotoxicidad","Hipersensibilidad, I.H."
Clotrimazol,Antifúngico Azólico,Crema/Solución/Polvo 1%; Crema Vaginal 1-2%; Óvulo Vaginal 100-500 mg,"Tópico: 2-3 veces/día; Vaginal: Diario por 1, 3, 6 o 7 días",Aplicación 2-3 veces día,"Tópico, Vaginal",Infecciones fúngicas cutáneas; Candidiasis vulvovaginal,"Irritación local, ardor, prurito",Hipersensibilidad
Clotrimazol Bucal (Troche),Antifúngico (Azol),10 mg,Disolver lentamente en boca 5 veces al día (por 14 días),Sin máx. fijo (limitado por duración),Oral (tópico bucal),Tratamiento de Candidiasis orofaríngea (Muguet),"Alteración del gusto, náuseas leves, irritación local",Hipersensibilidad
Cloxacilina Sódica,Antibiótico Penicilina,Oral: 500 mg; IV/IM: 0.5-1 g,Cada 6 horas,4000 mg/día,Oral IV IM,Infecciones estafilocócicas sensibles,"Náuseas, vómitos, diarrea, rash, urticaria, anafilaxia",Hipersensibilidad a penicilinas
Cloxacilina Sódica,Penicilina resistente a penicilinasa,250-500 mg,Cada 6 horas (1h antes o 2h después de comidas),4000 mg/día (oral),Oral,"Infecciones por estafilococos productores de penicilinasa sensibles (Piel, tejidos blandos, osteomielitis)","Náuseas, vómitos, diarrea, erupción cutánea, urticaria",Hipersensibilidad a penicilinas o cefalosporinas
Clozapina,Antipsicótico,"Inicial: 12.5 mg, ↑ gradual; Mant: 200-450 mg/día",Dividido en 1-3 tomas diarias,900 mg/día,Oral,"Esquizofrenia resistente, Psicosis en Enf. Parkinson","Agranulocitosis, sedación, sialorrea, aumento peso, hiperglucemia, dislipidemia, taquicardia, hipotensión ortostática, convulsiones, miocarditis","Hipersensibilidad, antecedentes agranulocitosis, mielosupresión, epilepsia no controlada, psicosis alcohólica/tóxica, depresión SNC grave, coma, colapso circulatorio, I.R./I.H./Cardíaca grave, íleo paralítico"
Cobicistat,Potenciador farmacocinético,150 mg,Una vez al día con ARV específico,150 mg/día,Oral,Potenciador de atazanavir o darunavir en VIH,"Náuseas, diarrea, cefalea, fatiga, ictericia, aumento creatinina sérica","Hipersensibilidad, uso concomitante ciertos fármacos"
Cobicistat,Potenciador Farmacocinético (Inhibidor CYP3A),150 mg,"Una vez al día (con comida y con el antirretroviral potenciado)""",150 mg/día,Oral,"Potenciar concentraciones de antirretrovirales (atazanavir, darunavir) en tratamiento VIH","Ictericia, náuseas, fatiga, aumento leve de creatinina sérica (inhibición tubular)","Enfermedad hepática descompensada, uso concomitante con fármacos altamente dependientes de CYP3A para su aclaramiento y contraindicados"
Cobimetinib,Inhibidor MEK,60 mg,"Una vez al día, ciclo 21 días ON / 7 días OFF",60 mg/día,Oral,Melanoma BRAF V600 mutado,"Diarrea, rash, náuseas, vómitos, fotosensibilidad, fatiga, edema, aumento CPK/transaminasas, toxicidad ocular/cardíaca/cutánea",Hipersensibilidad
Cobimetinib,Inhibidor MEK,60 mg,Una vez al día (días 1-21 de ciclo de 28 días),60 mg/día,Oral,Melanoma metastásico o irresecable con mutación BRAF V600 (en combinación con inhibidor BRAF como Vemurafenib),"Diarrea, erupción (dermatitis acneiforme), fotosensibilidad, edema, toxicidad cardíaca/ocular/hepática","Hipersensibilidad, disfunción cardíaca severa, enfermedad hepática severa"
Codeína Fosfato,Opioide (Agonista débil) / Antitusígeno,15-60 mg (dolor); 10-20 mg (tos),Cada 4-6 horas según necesidad,360 mg/día (dolor); 120 mg/día (tos),Oral,"Dolor leve a moderado, tos no productiva","Estreñimiento, sedación, náuseas, vómitos, mareo, dependencia","Depresión respiratoria aguda, hipersensibilidad, niños <12 años, metabolizadores ultrarrápidos CYP2D6"
Colagenasa Clostridium histolyticum,Enzima,0.58 mg por cuerda/placa,única por ciclo tratamiento,0.58 mg,Intralesional,Contractura Dupuytren; Enfermedad Peyronie,"Edema/hinchazón, hematoma, dolor sitio, prurito, linfadenopatía axilar, rotura tendón, reacción anafiláctica","Hipersensibilidad, infección sitio"
Colchicina,Antiinflamatorio,"Ataque agudo: 1 mg inicial, luego 0.5 mg/h; Profilaxis/Crónica: 0.5-1 mg",1mg/día,1.8 mg/día,Oral,"Gota aguda, Profilaxis gota, Fiebre Mediterránea Familiar, Pericarditis","Diarrea, dolor abdominal, toxicidad hematológica, neuropatía, miopatía","Hipersensibilidad, I.R. grave, I.H. grave, discrasias sanguíneas, embarazo, uso concomitante inhibidores potentes CYP3A4/P-gp en I.R./I.H."
Colchicina,Antiinflamatorio (Antimitótico),0.6 mg (aguda: 1.2mg inicial + 0.6mg en 1h; profilaxis: 0.6mg QD o BID),Aguda: Dosis carga día 1; Profilaxis: Una o dos veces al día,1.8 mg (día 1 aguda); 1.2 mg/día (profilaxis),Oral,"Gota (ataque agudo y profilaxis), Fiebre Mediterránea Familiar, Pericarditis","Diarrea, náuseas, vómitos, dolor abdominal, (Toxicidad: mielosupresión, neuropatía - raro con dosis bajas)","Insuficiencia renal/hepática severa, uso concomitante con inhibidores potentes CYP3A4/P-gp (aumenta toxicidad), discrasias sanguíneas"
Colecalciferol,Vitamina D3,Profilaxis deficiencia: 400-1000 UI/día; Tto deficiencia: 800-4000 UI/día o semanales/mensuales),"Diaria, semanal o mensual según dosis y pauta",Generalmente 4000 UI/día,"Oral, IM","Deficiencia de Vitamina D, Osteoporosis, Raquitismo, Osteomalacia","Hipercalcemia, estreñimiento, poliuria, polidipsia, debilidad, confusión, calcificación tejidos blandos","Hipersensibilidad, hipercalcemia, hipercalciuria, cálculos renales cálcicos, sarcoidosis (precaución), I.R. grave"
Colecalciferol Gotas (Vitamina D3),Vitamina,800-1000 UI,Una vez al día,4000 UI/día (límite superior seguro a largo plazo),Oral,"Deficiencia/insuficiencia de Vitamina D, prevención osteoporosis","Hipercalcemia (con dosis excesivas), náuseas, estreñimiento","Hipercalcemia, toxicidad por Vitamina D, hipercalciuria"
Colesevelam,Secuestrador de Ácidos Biliares,3.75 g - 4.375 g,1 vez/día o dividido en 2 tomas,4.375 g/día,Oral,"Hipercolesterolemia primaria, Diabetes Mellitus tipo 2","Estreñimiento, dispepsia, flatulencia, náuseas, dolor abdominal","Hipersensibilidad, obstrucción biliar o intestinal"
Colesevelam Clorhidrato,Secuestrante de Ácidos Biliares,3.75 g (6 comp) o 1.875 g (3 comp),Una vez al día (dosis alta) o dos veces al día (dosis baja/alta),4.375 g/día (7 comp),Oral,"Hipercolesterolemia primaria, Diabetes tipo 2 (adyuvante para control glucémico)","Estreñimiento, dispepsia, náuseas, mialgia","Antecedentes de obstrucción intestinal, triglicéridos >500 mg/dL, pancreatitis por hipertrigliceridemia"
Colestipol,Secuestrador Ácidos Biliares,Inicial: 5 g; Mantenimiento: 5-30 g/día,1-2 veces al día con comidas,30 g/día,Oral,Hipercolesterolemia primaria,"Estreñimiento, flatulencia, dispepsia, dolor abdominal, náuseas, interferencia absorción fármacos/vitaminas liposolubles","Hipersensibilidad, obstrucción biliar completa"
