name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
Daptomicina,Antibiótico (Lipopéptido),4 - 12 mg/kg,DUD (c/24 h),No especificado,IV,Infecciones piel / Estafilococo (SAMR),"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Precaución,No requiere ajuste,Intervalo entre dosis debe prolongarse
Darbepoyetina alfa,Estimulante de eritropoyesis,0.45 µg/kg/dosis,1 vez por semana,No especificado,IV / SC,Anemia en insuficiencia renal crónica,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Darunavir, etanolato",Antirretroviral (Inh. Proteasa),"20 - 30 kg:375 mg

30 - 40 kg:450 mg",c/12 h,No especificado,VO (Oral),VIH,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Daunorrubicina,Antineoplásico (Antraciclina),25 - 45 mg/m²,Dosis los días 1 y 8 (variable),No especificado,IV,Leucemia linfoide aguda (LLA),"Emb: D

Lact: Evitar (D)","Hígado: Reducir Dosis (D)

Riñón: Reducir Dosis (D)",yes,"Emb: D

Lact: Evitar (D) | Hígado: Reducir Dosis (D)

Riñón: Reducir Dosis (D)",Riesgo (D),,,Dosis debe disminuirse
Decametrina (Deltametrina),Pediculicida / Escabicida,"Aplicar en la noche, enjuagar en la mañana",Repetir a los 10-15 días,No especificado,Tópico,Escabiosis / Pediculosis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Deferasirox,Quelante de hierro,20 mg/kg/día,"DUD (VO, 30 min antes comida)",No especificado,VO (Oral),Sobrecarga de hierro crónica,"Emb: B

Lact: Precaución (C)","Hígado: Precaución (D)

Riñón: Precaución (C)",yes,"Emb: B

Lact: Precaución (C) | Hígado: Precaución (D)

Riñón: Precaución (C)",Aceptado (B),Contraindicado,,
"Deferoxamina, mesilato",Quelante de hierro,20 - 40 mg/kg/día,c/8 - 12 h (o infusión cont),6 g/día,IM / IV,Intoxicación hierro / Hemocromatosis,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Precaución,No requiere ajuste,Dosis debe disminuirse
Deflazacort,Glucocorticoide,0.25 - 1.5 mg/kg/día,Dosis única o interdiaria,120 mg/día (Adultos),VO (Oral),Inflamación / Inmunosupresión,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Desipramina, clorhidrato",Antidepresivo tricíclico,1 - 3 mg/kg/día,c/8 - 12 h (o DUD noche),5 mg/kg/día,VO (Oral),Depresión / TDAH,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (C)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (C)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Desloratadina,Antihistamínico (No sedante),"6-11 meses: 1 mg

1-5 años:1.25 mg

6-11 años: 2.5 mg

>12 años: 5 mg",Dosis Única Diaria (DUD),5 mg/día,VO (Oral),Rinitis alérgica / Urticaria,"Emb: C

Lact: Precaución (B)","Hígado: Intervalo (I)

Riñón: Intervalo (I)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Intervalo (I)

Riñón: Intervalo (I)",Restringido (C),Precaución,,Intervalo entre dosis debe prolongarse
Desloratadina / Fenilefrina,Antihistamínico / Descongestionante,"2-5 años:1.25 mg (2.5ml)

6-11 años: 2.5 mg (5ml)

>12 años: 1 tab",c/12 h,No especificado,VO (Oral),Rinitis con congestión nasal,"Emb: C

Lact: Precaución (B)","Hígado: Intervalo (I)

Riñón: Intervalo (I)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Intervalo (I)

Riñón: Intervalo (I)",Restringido (C),Precaución,,Intervalo entre dosis debe prolongarse
"Desmopresina, acetato (DDAVP)",Antidiurético (Análogo vasopresina),"Enuresis: 20 - 40 µg IN (noche)

Diabetes insípida: 5 - 30 µg/día",1 vez al día (Enuresis) / c/12-24h,No especificado,Nasal / VO / IV,Enuresis nocturna / Diabetes insípida,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Desonida,Corticosteroide tópico (Baja potencia),Aplicar capa delgada,2 a 3 veces al día,No especificado,Tópico,Dermatitis atópica / Eczema leve,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Desonide / Ketoconazol,Corticoide / Antimicótico tópico,Aplicar en área afectada,2 veces al día,No especificado,Tópico,Dermatitis infectadas / Tiña,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Desoxicorticosterona, acetato",Mineralocorticoide,1 - 3 mg/día,Dosis única diaria,5 mg/día,IM,Insuficiencia suprarrenal / Addison,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Dexametasona, fosfato",Corticosteroide sistémico,"Antiinflamatorio:0.08 - 0.3 mg/kg/día

Crup: 0.6 mg/kg (DUD)

Meningitis: 0.6 mg/kg/día",c/6 - 12 h,No especificado,IV / IM / VO,Inflamación / Crup / Meningitis / Edema cerebral,"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
Dexametasona / Neomicina,Corticoide / Antibiótico oftálmico,1 ó 2 gotas en cada ojo,c/hora (agudo) luego c/3-4h,No especificado,Oftálmica,Conjuntivitis bacteriana / Inflamación ocular,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dexketoprofeno trometamol,AINE / Analgésico,Adultos: 25 mg,c/8 h,75 mg/día,VO (Oral),Dolor agudo de leve a moderado,"Emb: B

Lact: Precaución (A)","Hígado: Precaución (B)

Riñón: Evitar (X)",yes,"Emb: B

Lact: Precaución (A) | Hígado: Precaución (B)

Riñón: Evitar (X)",Aceptado (B),Seguro (Compatible),,Evitar su uso
Dexlansoprazol,Inhibidor bomba de protones (IBP),>18 años: 30 mg (RGE) o 60 mg (Erosiva),c/24 h,60 mg/día,VO (Oral),Reflujo (RGE) / Esofagitis erosiva,"Emb: B

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Aceptado (B),Precaución,,No requiere ajuste
"Dexmedetomidina, clorhidrato",Sedante (Agonista alfa-2),"Carga: 0.5 - 1 µg/kg (en 10 min)

Mant: 0.2 - 0.7 µg/kg/h",Infusión continua,No especificado,IV,Sedación en UCI / Procedimientos,"Emb: C

Lact: Precaución (A)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),,No requiere ajuste
"Dexmetilfenidato, clorhidrato",Estimulante SNC,2.5 - 5 mg/día (o dividir dosis de metilfenidato a la mitad),c/12 h (DUD en retard),20 mg/día,VO (Oral),TDAH (Déficit de Atención),"Emb: C

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dexrazoxano,Cardioprotector / Antídoto,10:1 respecto a dosis de doxorrubicina (ej. 500 mg/m²),IV (Infusión),No especificado,IV,Prevención cardiotoxicidad por antraciclinas,"Emb: C

Lact: Evitar (C)","Hígado: Precaución (B)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Evitar (C) | Hígado: Precaución (B)

Riñón: Reducir Dosis (D)",Restringido (C),Contraindicado,,Dosis debe disminuirse
Dextrán (40 / 70),Expansor plasmático,10 - 20 ml/kg(Dosis inicial),Primeras 24h: Máx 20 ml/kg,10 ml/kg/día (después de 24h),IV,Shock hipovolémico / Expansor volumen,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Seguro (Compatible),No requiere ajuste,Evitar su uso
Dextroanfetamina,Estimulante SNC,"3-5 años: 2.5 mg/día

>6 años: 5 mg/día (o c/12-24h)",c/12 - 24 h,40 mg/día (Narcolepsia: 60 mg),VO (Oral),TDAH / Narcolepsia,"Emb: C

Lact: Evitar (D)","Hígado: Precaución (C)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Evitar (D) | Hígado: Precaución (C)

Riñón: Seguro (A)",Restringido (C),Contraindicado,,No requiere ajuste
"Dextrometorfano, bromhidrato",Antitusivo no narcótico,"2-6 años: 7.5 mg (2.5-5 ml)

6-12 años: 15 mg (5-10 ml)",c/6 - 8 h,"2-6a: 30 mg/día

6-12a: 60 mg/día",VO (Oral),Tos seca / irritativa,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dextrometorfano / Ambroxol,Antitusivo / Mucolítico,"2-3 años: 5 ml

4-6 años: 7.5 ml

>6 años: 10 ml",c/6 - 8 h,No especificado,VO (Oral),Tos productiva,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Dextrometorfano / Bromhexina,Antitusivo / Mucolítico,"2-6 años: 2.5 ml

6-12 años: 5 ml

>12 años: 10 ml",c/6 - 8 h,No especificado,VO (Oral),Tos con flemas,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Dextrometorfano / Clorfeniramina,Antitusivo / Antihistamínico,"2-6 años: 2.5 ml

>6 años: 5 ml",c/6 h,No especificado,VO (Oral),Tos alérgica / Tos nocturna,"Emb: C

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dextrometorfano / Guayacolato (Guaifenesina),Antitusivo / Expectorante,"2-6 años: 1 - 2 gotas/kg/dosis (o 2.5-5 ml)

6-12 años: 5 - 10 ml",c/4 - 6 h,No especificado,VO (Oral),Tos productiva / Bronquitis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dextrosa (Glucosa),Agente hiperglicemiante,"Neonatos: 0.1-0.2 g/kg/dosis (2-5 ml/kg DAD 10%)

Niños: 0.5 - 1 g/kg/dosis (D. máx 10-25 g)",Según necesidad / Bomba,No especificado,IV,Hipoglicemia / Aporte calórico,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Diacepam (Diazepam),Benzodiacepina,"Status: 0.2 - 0.3 mg/kg/dosis IV (repetir c/15-30 min)

Sedación: 0.2 - 0.4 mg/kg/dosis",c/6 - 8 h,10 mg/dosis (IV),IV / VO / Rectal,Convulsiones / Status epiléptico / Sedación / Espasmos,"Emb: D

Lact: Precaución (C)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: D

Lact: Precaución (C) | Hígado: Precaución (B)

Riñón: Seguro (A)",Riesgo (D),Contraindicado,,No requiere ajuste
Dibucaína,Anestésico tópico,Aplicar en área afectada,3 ó 4 veces al día,30 g (Tubo),Tópico,Hemorroides / Dolor piel,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Diciclomina (Dicicloverina),Antiespasmódico,"Lactantes >6m:5 mg/dosis

Niños: 10 mg/dosis",c/6 - 8 h,40 mg/día (Niños),VO (Oral),Cólicos / Colon irritable,"Emb: B

Lact: Contraindicado (D)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Contraindicado (D) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Diclofenaco potásico,AINE / Analgésico,"0.5 - 1 mg/kg/día

Adultos: 50 mg/dosis",c/8 - 12 h,150 mg/día,VO (Oral),Dolor agudo / Inflamación (Inicio rápido),"Emb: B / D (3º trim)

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",yes,"Emb: B / D (3º trim)

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",Aceptado (B),Seguro (Compatible),,Evitar su uso
Diclofenaco sódico,AINE / Antiinflamatorio,0.5 - 1 mg/kg/día(o 2-3 mg/kg/día rectales),c/8 - 12 h,150 mg/día,VO / IM / Rectal,Artritis / Inflamación / Dolor,"Emb: B / D (3º trim)

Lact: Seguro (A)","Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",yes,"Emb: B / D (3º trim)

Lact: Seguro (A) | Hígado: Reducir Dosis (D)

Riñón: Evitar (X)",Aceptado (B),Seguro (Compatible),,Evitar su uso
"Diclonina, clorhidrato",Anestésico local oral,Hacer colutorios con 5-10 ml al 0.5% - 1%,3 ó 4 veces al día,No especificado,VO (Local),Dolor garganta / Procedimientos orales,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dicloroisocianurato de sodio,Potabilizador de agua,1 tableta en 1 litro de agua,Dejar reposar 10 a 30 min,No especificado,Solución (No ingerir directa),Desinfección de agua / Biberones,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dicloxacilina,Antibiótico (Penicilina),"25 - 50 mg/kg/día(Infección leve)

100 mg/kg/día(Infección severa)",c/6 h,4 g/día,VO / IV / IM,Infecciones piel / Estafilococo productor penicilinasa,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Didanosina (ddI),Antirretroviral,"<3 meses: 100 mg/m²/día

>3 meses: 180 - 240 mg/m²/día",c/12 h,No especificado,VO (Oral),VIH,"Emb: B

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Evitar (X)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Evitar (X)",Aceptado (B),Precaución,,Evitar su uso
Dietiltoluamida (DEET),Repelente de insectos,Aplicar en piel expuesta (evitar mucosas/ojos),Repetir cada 8 h,No especificado,Tópico,Prevención picaduras insectos,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
"Difenhidramina, clorhidrato",Antihistamínico,"1 - 2 mg/kg/dosis

Adultos: 25 - 50 mg/dosis",c/6 - 8 h,300 mg/día,VO / IV / IM,Alergias / Anafilaxia / Insomnio,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Intervalo (I)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Intervalo (I)",Aceptado (B),Precaución,No requiere ajuste,Intervalo entre dosis debe prolongarse
Difenoxilato,Antidiarreico,"0.2 - 0.3 mg/kg/dosis(c/6-8h)

>12 años: 2 tabletas iniciales",c/6 - 8 h,No especificado,VO (Oral),Diarrea (Uso limitado en niños),"Emb: C

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Precaución,,No requiere ajuste
"Diflucortolona, valerato",Corticosteroide tópico,Aplicar capa fina,2 ó 3 veces al día,No especificado,Tópico,Dermatitis infectadas / Inflamación piel,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Digoxina,Glucósido cardíaco,"Impregnación (µg/kg): Prem: 20-30, RN: 25-35, 1m-2a: 35-60, 2-5a: 30-40, >10a: 10-15","1/2 dosis inicial, luego 1/4 a las 8h y 16h",No especificado,IV / IM / VO,Insuficiencia cardíaca / Arritmias,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
"Dihidrocodeína, bitartrato",Antitusivo narcótico / Analgésico,"0.3 mg/kg/día

Adultos: 10 ml (40 gotas)",c/8 h,No especificado,VO (Oral),Tos improductiva severa / Dolor,"Emb: B/D

Lact: Seguro (A)","Hígado: Seguro (B*)

Riñón: Seguro (A)",yes,"Emb: B/D

Lact: Seguro (A) | Hígado: Seguro (B*)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),,No requiere ajuste
"Dihidroergotamina, mesilato (DHE)",Antimigrañoso,0.25 - 1 mg/dosis,c/30 min (VO) - Repetir c/h (IM),5 mg/día,VO / IM / IV / Nasal,Migraña / Cefalea vascular,"Emb: X (Contraindicado)

Lact: Evitar (X)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: X (Contraindicado)

Lact: Evitar (X) | Hígado: Evitar (X)

Riñón: Evitar (X)",Contraindicado (X),,Evitar su uso,Evitar su uso
"Diloxanida, furoato",Amebicida luminal,20 mg/kg/día,c/8 h (x 10 días),1.500 mg/día (Adultos),VO (Oral),Amebiasis asintomática (Luminal),"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
"Diltiazem, clorhidrato",Calcioantagonista,1.5 - 2 mg/kg/día,c/8 - 12 h,3.5 mg/kg/día,VO (Oral),Hipertensión / Angina / Arritmias,"Emb: C

Lact: Evitar (A)","Hígado: Precaución (B)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Evitar (A) | Hígado: Precaución (B)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),,No requiere ajuste
Dimenhidrinato,Antiemético / Antihistamínico,5 mg/kg/día (o 150 mg/m²),c/6 h,300 mg/día (Adultos),VO / IM / IV / Rectal,Mareo por movimiento / Vómitos,"Emb: B

Lact: Precaución (B*)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B*) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Usar con reserva (Sin datos),No requiere ajuste,No requiere ajuste
Dimercaprol (B.A.L.),Antídoto (Quelante),2.5 - 5 mg/kg/dosis,"c/4 h (Día 1-2), luego c/12h",No especificado,IM (Profunda),"Intoxicación arsénico, oro, mercurio, plomo","Emb: C

Lact: Precaución (B)","Hígado: Evitar (D)

Riñón: Evitar (D)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Evitar (D)

Riñón: Evitar (D)",Restringido (C),Precaución,,Dosis debe disminuirse
Dimeticona,Antiflatulento,"Lactantes: 2 - 5 gotas (antes tomas)

Niños: 10 - 20 gotas",c/6 - 8 h,No especificado,VO (Oral),Cólicos / Gases / Flatulencia,"Emb: ?

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: ?

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",,Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dimetilpolisiloxano,Antiflatulento,Véase Dimeticona,-,-,-,-,-,-,yes,- | -,,,,
Dimetiltubocurarina,Bloqueante neuromuscular,Véase Tubocurarina,-,-,-,-,-,-,yes,- | -,,,,
"Dimetindeno, maleato",Antihistamínico,0.02 - 0.04 mg/kg/dosis,c/8 h,No especificado,VO (Oral),Alergias / Prurito,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Dinitrato de isosorbide,Vasodilatador (Nitrato),"Véase Isosorbide, dinitrato",-,-,-,-,-,-,yes,- | -,,,,
Diosmectita,Antidiarreico / Protector,"<1 año: 1 sobre/día

1-2 años: 1-2 sobres/día

>2 años: 2-3 sobres/día",Dividido en tomas,No especificado,VO (Oral),Diarrea aguda / Protección mucosa,"Emb: ?

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: ?

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",,Precaución,No requiere ajuste,No requiere ajuste
Dióxido de titanio,Protector solar (Físico),Aplicar 30 min antes de exposición,Repetir según necesidad,No especificado,Tópico,Protección solar total,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dipirona (Metamizol),Analgésico / Antipirético,10 - 15 mg/kg/dosis,c/6 - 8 h,40 mg/kg/día,VO / IM / IV / Rectal,Dolor / Fiebre alta,"Emb: C / D (3º trim)

Lact: Precaución (B)","Hígado: Precaución (B)

Riñón: Precaución (A)",yes,"Emb: C / D (3º trim)

Lact: Precaución (B) | Hígado: Precaución (B)

Riñón: Precaución (A)",Restringido (C),Precaución,,No requiere ajuste
"Dobitamina, clorhidrato",Inotrópico (Agonista beta-1),2 - 20 µg/kg/min,Infusión continua,40 µg/kg/min,IV (Infusión),Shock cardiogénico / Insuf. cardíaca,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Dobutamina,Inotrópico,Véase Dobitamina(Arriba),-,-,-,-,-,-,yes,- | -,,,,
Docetaxel,Antineoplásico (Taxano),75 - 100 mg/m²,c/3 semanas,No especificado,IV,Cáncer de mama / Pulmón / Próstata,"Emb: D (Riesgo)

Lact: Evitar (D)","Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",yes,"Emb: D (Riesgo)

Lact: Evitar (D) | Hígado: Reducir Dosis (D)

Riñón: Seguro (A)",Riesgo (D),,,No requiere ajuste
Docusato sódico,Laxante emoliente,"<3 años: 10-40 mg/día

3-6 años: 20-60 mg/día

6-12 años: 40-150 mg/día",c/24 h (DUD) o dividido,No especificado,VO (Oral),Estreñimiento (Heces duras),"Emb: C

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Dofetilida,Antiarrítmico (Clase III),Dosis individualizada,c/12 h,No especificado,VO (Oral),Fibrilación auricular / Flutter,"Emb: C

Lact: Evitar (D)","Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",yes,"Emb: C

Lact: Evitar (D) | Hígado: Seguro (A)

Riñón: Reducir Dosis (D)",Restringido (C),Seguro (Compatible),No requiere ajuste,Dosis debe disminuirse
"Dolasetrón, mesilato",Antiemético (5-HT3),1.8 mg/kg/dosis (o 100 mg),Dosis única (previo quimio),100 mg,VO / IV,Náuseas y vómitos (Quimio/Postquirúrgico),"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Domperidona,Antiemético / Procinético,0.2 - 0.4 mg/kg/dosis,c/8 h (antes comidas),2.4 mg/kg/día (o 80 mg),VO (Oral),Reflujo / Gastroparesia / Vómitos,"Emb: C

Lact: Seguro (A)","Hígado: Precaución (B)

Riñón: Reducir Dosis (I)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Precaución (B)

Riñón: Reducir Dosis (I)",Restringido (C),Seguro (Compatible),,Intervalo entre dosis debe prolongarse
